query_id;bin_cos_p;bin_cos_r;bin_cos_f;bin_euc_p;bin_euc_r;bin_euc_f;ter_cos_p;ter_cos_r;ter_cos_f;ter_euc_p;ter_euc_r;ter_euc_f;tid_cos_p;tid_cos_r;tid_cos_f;tid_euc_p;tid_euc_r;tid_euc_f;w2v_cos_p;w2v_cos_r;w2v_cos_f;w2v_euc_p;w2v_euc_r;w2v_euc_f
1;0,266667;0,137931;0,052373;0,066667;0,034483;0,004175;0,400000;0,206897;0,103004;0,000000;0,000000;0,000000;0,333333;0,172414;0,076336;0,066667;0,034483;0,004175;0,066667;0,034483;0,004175;0,066667;0,034483;0,004175
2;0,066667;0,040000;0,004819;0,066667;0,040000;0,004819;0,200000;0,120000;0,036364;0,000000;0,000000;0,000000;0,333333;0,200000;0,086957;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
3;0,266667;0,444444;0,138528;0,000000;0,000000;0,000000;0,333333;0,555556;0,196078;0,000000;0,000000;0,000000;0,533333;0,888889;0,391437;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
4;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
5;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
6;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
7;0,200000;0,500000;0,117647;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
8;0,200000;0,250000;0,068966;0,000000;0,000000;0,000000;0,200000;0,250000;0,068966;0,000000;0,000000;0,000000;0,200000;0,250000;0,068966;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
9;0,200000;0,750000;0,153846;0,000000;0,000000;0,000000;0,200000;0,750000;0,153846;0,000000;0,000000;0,000000;0,200000;0,750000;0,153846;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10;0,333333;0,555556;0,196078;0,000000;0,000000;0,000000;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,200000;0,333333;0,086957;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
11;0,000000;0,000000;0,000000;0,066667;0,125000;0,013986;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,200000;0,375000;0,095238;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
12;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
13;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
14;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
15;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
16;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,200000;0,750000;0,153846;0,000000;0,000000;0,000000;0,200000;0,750000;0,153846;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
17;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
18;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
19;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
20;0,333333;0,500000;0,181818;0,000000;0,000000;0,000000;0,200000;0,300000;0,080000;0,000000;0,000000;0,000000;0,400000;0,600000;0,240000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
21;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,200000;0,600000;0,133333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
22;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
23;0,066667;0,030303;0,003683;0,000000;0,000000;0,000000;0,066667;0,030303;0,003683;0,000000;0,000000;0,000000;0,266667;0,121212;0,046579;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
24;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
25;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,200000;0,300000;0,080000;0,000000;0,000000;0,000000;0,466667;0,700000;0,301538;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
26;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
27;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
28;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
29;0,333333;0,500000;0,181818;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,333333;0,500000;0,181818;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
30;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,125000;0,013986;0,000000;0,000000;0,000000;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
31;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
32;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
33;0,200000;0,750000;0,153846;0,000000;0,000000;0,000000;0,200000;0,750000;0,153846;0,000000;0,000000;0,000000;0,266667;1,000000;0,235294;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
34;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,200000;0,428571;0,105263;0,000000;0,000000;0,000000;0,266667;0,571429;0,165803;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
35;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
36;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
37;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,400000;0,600000;0,240000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
38;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,090909;0,010471;0,000000;0,000000;0,000000;0,133333;0,181818;0,036866;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
39;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,071429;0,008368;0,000000;0,000000;0,000000;0,200000;0,214286;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
40;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,076923;0,008969;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
41;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
42;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,200000;0,500000;0,117647;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
43;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,266667;0,571429;0,165803;0,000000;0,000000;0,000000;0,400000;0,857143;0,303797;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
44;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
45;0,133333;0,153846;0,031873;0,066667;0,076923;0,008969;0,133333;0,153846;0,031873;0,066667;0,076923;0,008969;0,200000;0,230769;0,064516;0,000000;0,000000;0,000000;0,066667;0,076923;0,008969;0,066667;0,076923;0,008969
46;0,066667;0,062500;0,007380;0,066667;0,062500;0,007380;0,400000;0,375000;0,169014;0,066667;0,062500;0,007380;0,400000;0,375000;0,169014;0,000000;0,000000;0,000000;0,066667;0,062500;0,007380;0,066667;0,062500;0,007380
47;0,466667;0,466667;0,225287;0,066667;0,066667;0,007843;0,333333;0,333333;0,133333;0,066667;0,066667;0,007843;0,400000;0,400000;0,177778;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
48;0,200000;0,250000;0,068966;0,133333;0,166667;0,034188;0,200000;0,250000;0,068966;0,066667;0,083333;0,009662;0,200000;0,250000;0,068966;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
49;0,200000;1,000000;0,181818;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,200000;1,000000;0,181818;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,066667;0,333333;0,031746
50;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
51;0,066667;0,090909;0,010471;0,000000;0,000000;0,000000;0,066667;0,090909;0,010471;0,066667;0,090909;0,010471;0,066667;0,090909;0,010471;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
52;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,333333;1,000000;0,285714;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
53;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,181818;0,036866;0,000000;0,000000;0,000000;0,133333;0,181818;0,036866;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
54;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
55;0,133333;0,181818;0,036866;0,000000;0,000000;0,000000;0,200000;0,272727;0,074074;0,000000;0,000000;0,000000;0,200000;0,272727;0,074074;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
56;0,133333;0,181818;0,036866;0,066667;0,090909;0,010471;0,066667;0,090909;0,010471;0,000000;0,000000;0,000000;0,200000;0,272727;0,074074;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
57;0,066667;0,066667;0,007843;0,066667;0,066667;0,007843;0,066667;0,066667;0,007843;0,000000;0,000000;0,000000;0,266667;0,266667;0,092754;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
58;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,200000;0,300000;0,080000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
59;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
60;0,266667;0,666667;0,183908;0,000000;0,000000;0,000000;0,200000;0,500000;0,117647;0,000000;0,000000;0,000000;0,266667;0,666667;0,183908;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
61;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,200000;0,500000;0,117647;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
62;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
63;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
64;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
65;0,400000;0,375000;0,169014;0,000000;0,000000;0,000000;0,400000;0,375000;0,169014;0,000000;0,000000;0,000000;0,466667;0,437500;0,214442;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
66;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,200000;0,500000;0,117647;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
67;0,333333;0,333333;0,133333;0,000000;0,000000;0,000000;0,333333;0,333333;0,133333;0,000000;0,000000;0,000000;0,533333;0,533333;0,275269;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
68;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
69;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
70;0,066667;0,090909;0,010471;0,000000;0,000000;0,000000;0,266667;0,363636;0,118959;0,000000;0,000000;0,000000;0,266667;0,363636;0,118959;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
71;0,000000;0,000000;0,000000;0,066667;0,111111;0,012579;0,000000;0,000000;0,000000;0,066667;0,111111;0,012579;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
72;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,055556;0,006601;0,066667;0,055556;0,006601;0,000000;0,000000;0,000000;0,066667;0,055556;0,006601;0,066667;0,055556;0,006601
73;0,133333;0,095238;0,020672;0,000000;0,000000;0,000000;0,066667;0,047619;0,005698;0,000000;0,000000;0,000000;0,266667;0,190476;0,069717;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
74;0,000000;0,000000;0,000000;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
