query_id;bin_cos_p;bin_cos_r;bin_cos_f;bin_euc_p;bin_euc_r;bin_euc_f;ter_cos_p;ter_cos_r;ter_cos_f;ter_euc_p;ter_euc_r;ter_euc_f;tid_cos_p;tid_cos_r;tid_cos_f;tid_euc_p;tid_euc_r;tid_euc_f;w2v_cos_p;w2v_cos_r;w2v_cos_f;w2v_euc_p;w2v_euc_r;w2v_euc_f
75;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
76;0,133333;0,250000;0,048193;0,066667;0,125000;0,013986;0,000000;0,000000;0,000000;0,066667;0,125000;0,013986;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
77;0,266667;0,571429;0,165803;0,066667;0,142857;0,015748;0,133333;0,285714;0,053691;0,066667;0,142857;0,015748;0,333333;0,714286;0,232558;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
78;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
79;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,200000;0,500000;0,117647;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
80;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
81;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
82;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,200000;0,500000;0,117647;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
83;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
84;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,166667;0,034188;0,000000;0,000000;0,000000;0,066667;0,083333;0,009662;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
85;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
86;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
87;0,066667;0,111111;0,012579;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
88;0,400000;0,857143;0,303797;0,000000;0,000000;0,000000;0,333333;0,714286;0,232558;0,000000;0,000000;0,000000;0,466667;1,000000;0,378378;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
89;0,200000;0,428571;0,105263;0,000000;0,000000;0,000000;0,266667;0,571429;0,165803;0,000000;0,000000;0,000000;0,333333;0,714286;0,232558;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
90;0,133333;0,142857;0,029851;0,066667;0,071429;0,008368;0,200000;0,214286;0,060606;0,066667;0,071429;0,008368;0,333333;0,357143;0,140845;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
91;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
92;0,133333;0,142857;0,029851;0,000000;0,000000;0,000000;0,066667;0,071429;0,008368;0,000000;0,000000;0,000000;0,466667;0,500000;0,237288;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
93;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,133333;1,000000;0,125000;0,000000;0,000000;0,000000;0,133333;1,000000;0,125000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
94;0,133333;0,153846;0,031873;0,000000;0,000000;0,000000;0,333333;0,384615;0,149254;0,000000;0,000000;0,000000;0,400000;0,461538;0,198347;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
95;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,200000;1,000000;0,181818;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
96;0,066667;0,071429;0,008368;0,066667;0,071429;0,008368;0,066667;0,071429;0,008368;0,000000;0,000000;0,000000;0,266667;0,285714;0,098160;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
97;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
98;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
99;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
100;0,200000;0,300000;0,080000;0,000000;0,000000;0,000000;0,266667;0,400000;0,128000;0,000000;0,000000;0,000000;0,333333;0,500000;0,181818;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
101;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,200000;0,428571;0,105263;0,000000;0,000000;0,000000;0,333333;0,714286;0,232558;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
102;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
103;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
104;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
105;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,266667;0,666667;0,183908;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
106;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,266667;0,666667;0,183908;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
107;0,066667;0,125000;0,013986;0,000000;0,000000;0,000000;0,066667;0,125000;0,013986;0,000000;0,000000;0,000000;0,200000;0,375000;0,095238;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
108;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,400000;0,750000;0,279070;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
109;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
110;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
111;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
112;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
113;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
114;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
115;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
116;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,166667;0,018018;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
117;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
118;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,066667;0,250000;0,025316;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
119;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
120;0,400000;0,600000;0,240000;0,000000;0,000000;0,000000;0,200000;0,300000;0,080000;0,000000;0,000000;0,000000;0,466667;0,700000;0,301538;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
121;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,200000;0,375000;0,095238;0,000000;0,000000;0,000000;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
122;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,066667;0,100000;0,011429;0,000000;0,000000;0,000000;0,133333;0,200000;0,040000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
123;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
124;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
125;0,133333;0,111111;0,023810;0,000000;0,000000;0,000000;0,133333;0,111111;0,023810;0,000000;0,000000;0,000000;0,200000;0,166667;0,048780;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
126;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
127;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,333333;0,060606;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
128;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
129;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
130;0,066667;0,166667;0,018018;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,266667;0,666667;0,183908;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
131;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,266667;0,444444;0,138528;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
132;0,266667;0,250000;0,087912;0,000000;0,000000;0,000000;0,600000;0,562500;0,312139;0,000000;0,000000;0,000000;0,600000;0,562500;0,312139;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
133;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
134;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
135;0,200000;0,333333;0,086957;0,000000;0,000000;0,000000;0,133333;0,222222;0,043716;0,000000;0,000000;0,000000;0,333333;0,555556;0,196078;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
136;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,500000;0,081633;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
137;0,133333;0,400000;0,069565;0,000000;0,000000;0,000000;0,200000;0,600000;0,133333;0,000000;0,000000;0,000000;0,266667;0,800000;0,206452;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
138;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
139;0,066667;0,200000;0,021053;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
140;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
141;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,142857;0,015748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
142;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,066667;0,500000;0,042553;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
143;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
144;0,266667;0,571429;0,165803;0,000000;0,000000;0,000000;0,266667;0,571429;0,165803;0,000000;0,000000;0,000000;0,400000;0,857143;0,303797;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
145;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,133333;0,250000;0,048193;0,000000;0,000000;0,000000;0,266667;0,500000;0,150943;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
146;0,066667;0,333333;0,031746;0,000000;0,000000;0,000000;0,133333;0,666667;0,098765;0,000000;0,000000;0,000000;0,200000;1,000000;0,181818;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
147;0,133333;0,181818;0,036866;0,000000;0,000000;0,000000;0,066667;0,090909;0,010471;0,000000;0,000000;0,000000;0,266667;0,363636;0,118959;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
148;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,133333;0,285714;0,053691;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
149;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;0,166667;0,034188;0,000000;0,000000;0,000000;0,133333;0,166667;0,034188;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
